"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",87,0,0,0,1,2,0,0,4,167,23,0,0,0,0,2,2,13,4,1,0,0,0,7,0,1,0,0,2,0,0,0,0,0,0,0,0,3,4,10,0,0,8,0,2,0,0,2,1,0,86,0,0,0,1,2,0,0,3,127,46,0,0,0,0,2,2,1,4,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,3,4,9,0,0,4,0,2,0,0,2,1,0,86,0,0,0,1,2,0,0,3,106,66,0,0,0,0,2,2,1,4,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,3,4,4,0,0,4,0,2,0,0,2,1,0,86,0,0,0,1,2,0,0,3,78,83,0,0,0,0,4,4,1,2,1,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4,4,0,0,4,0,4,0,0,2,1,0,86,0,0,0,0,3,1,0,5,51,93,0,0,0,0,6,7,1,4,2,1,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,4,0,0,4,0,4,0,0,2,2,0
"2",86,0,0,0,0,3,1,0,5,26,102,0,0,0,0,8,7,1,4,2,1,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,4,0,0,5,0,5,0,0,2,2,0,86,0,0,0,0,4,1,0,5,5,108,0,0,0,0,8,7,2,2,2,1,2,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,3,4,4,0,0,6,0,6,0,0,2,2,0,86,0,0,0,0,2,1,0,5,5,83,0,0,0,0,6,5,2,2,2,1,2,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,3,4,2,0,0,4,0,4,0,0,2,2,0,86,0,0,0,0,2,1,0,3,6,56,0,0,0,0,6,7,2,4,2,1,2,0,1,0,0,1,0,2,6,0,0,0,0,0,0,0,3,4,0,0,0,2,0,4,0,0,2,2,0,86,0,0,0,0,2,1,0,3,7,42,0,0,0,0,4,7,2,4,2,1,1,0,3,0,0,1,0,3,6,0,0,0,0,0,0,0,3,4,0,0,0,2,0,4,0,0,2,2,0
"3",86,0,0,0,0,3,1,0,3,11,27,0,0,0,0,4,5,2,4,1,0,1,0,3,0,0,1,0,4,6,0,0,0,0,0,0,0,3,4,0,0,0,2,0,2,0,0,2,2,0,86,0,0,0,0,2,0,0,1,10,17,0,0,0,0,2,3,2,2,0,0,1,0,3,0,0,1,0,3,6,0,0,0,0,0,0,0,3,4,0,0,0,1,0,1,0,0,2,0,0,86,0,0,0,0,3,0,0,3,9,29,0,0,0,0,0,4,2,3,0,0,0,0,3,0,4,0,0,3,6,0,0,0,0,0,0,0,3,4,1,0,0,1,0,1,0,0,2,1,0,86,0,0,0,0,2,0,0,4,11,29,0,0,0,0,0,5,1,3,0,1,0,0,3,0,4,1,0,3,4,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,2,1,0,86,0,0,0,1,4,0,0,9,11,51,0,0,0,2,0,20,5,3,1,1,1,0,3,0,4,3,0,2,4,0,0,0,0,0,0,0,3,4,4,0,0,0,0,1,0,0,3,1,0
"4",86,0,0,0,1,4,2,4,9,11,50,0,0,0,2,0,19,5,2,5,1,2,0,0,0,4,3,0,2,0,0,0,0,0,0,0,8,3,4,8,0,0,0,0,4,0,0,4,1,0,86,0,0,0,1,4,2,4,9,13,54,0,0,0,2,0,23,5,2,5,1,2,0,0,0,8,3,0,0,0,0,0,0,0,0,0,8,3,4,8,0,0,0,0,4,0,0,4,1,0,86,0,0,0,3,3,2,4,9,12,73,0,0,0,4,0,30,5,2,10,1,2,0,0,0,17,5,0,0,1,0,0,0,0,0,0,12,3,4,8,0,9,2,0,4,0,0,4,1,2,86,0,0,0,10,3,5,6,9,14,86,0,0,0,8,0,33,5,2,10,1,2,0,0,0,35,5,0,0,5,0,0,0,0,0,0,13,3,4,10,0,30,2,0,4,0,0,4,1,38,86,0,0,0,15,2,5,8,7,12,72,0,0,0,9,0,34,5,2,10,1,2,0,0,0,43,4,0,0,5,0,0,0,0,0,0,13,3,4,11,0,41,2,0,4,0,0,4,0,54
"5",86,0,0,0,15,2,7,8,4,10,58,0,0,0,9,0,30,5,2,10,0,2,0,2,0,43,4,0,0,5,0,0,0,0,0,0,13,3,4,11,0,41,2,0,4,0,0,3,0,54,86,0,0,0,19,0,7,8,1,8,50,0,0,0,8,0,18,1,2,9,0,1,0,2,0,57,4,0,0,5,0,0,0,0,0,0,14,3,4,8,0,55,2,0,3,0,0,2,0,79,86,0,0,0,20,0,5,4,1,6,50,0,0,0,8,0,15,1,2,5,0,1,0,2,0,59,4,0,0,5,0,0,0,0,0,0,6,3,4,4,0,56,2,0,0,0,0,2,0,80,86,0,0,26,19,0,5,4,8,3,47,0,0,0,10,0,9,12,2,0,0,1,0,2,0,55,2,0,1,4,0,0,0,0,0,0,2,3,4,4,0,51,1,18,0,0,3,2,3,80,86,0,0,641,28,1,7,8,136,4,111,0,0,0,24,10,16,35,3,23,0,1,88,2,0,71,18,0,2,5,0,0,0,0,0,0,3,3,4,4,54,68,0,305,1,0,20,2,37,124
"6",86,0,0,641,33,9,12,6,136,4,121,0,0,0,27,13,17,55,3,23,0,1,88,2,0,62,20,0,7,1,0,0,0,0,0,0,2,3,4,0,70,55,0,305,3,0,20,3,54,108,86,0,0,641,33,9,18,8,137,4,151,0,0,0,33,28,23,79,4,25,0,1,97,2,0,52,23,0,11,1,0,0,0,0,0,0,2,3,4,0,96,48,0,305,5,0,20,2,79,93,86,0,0,641,29,11,18,8,137,4,148,0,0,0,32,28,23,95,4,26,1,0,97,0,0,40,23,0,13,1,0,0,0,0,0,0,2,3,4,0,96,35,0,305,5,0,20,3,79,68,86,0,0,641,27,13,22,12,162,4,156,0,0,0,32,28,23,95,5,31,1,0,97,0,0,36,21,0,13,9,0,0,0,0,0,0,5,3,4,4,96,39,22,305,12,0,20,3,79,67,86,0,0,641,28,13,22,12,165,6,174,0,0,0,33,28,23,95,6,35,1,0,97,0,0,38,22,0,13,11,0,0,0,0,0,0,9,3,4,4,96,41,24,305,12,0,20,3,79,67
"7",86,0,0,447,26,12,24,15,127,5,151,0,0,0,29,29,20,85,10,35,1,1,97,2,0,23,20,0,15,13,0,0,0,0,0,0,9,3,4,4,96,26,25,245,12,1,15,3,76,42,86,0,0,428,35,4,19,30,124,5,127,0,0,0,26,18,15,60,12,12,1,1,9,2,0,15,14,0,13,16,0,0,0,0,0,0,8,3,4,8,39,20,29,247,9,1,25,3,57,19,86,0,0,428,31,4,14,32,125,9,115,0,0,0,23,16,13,44,13,12,1,1,9,2,0,16,12,0,9,18,0,0,0,0,127,0,8,3,4,8,28,26,31,247,9,1,25,3,44,28,86,0,0,451,29,4,10,30,129,13,107,0,0,0,19,1,9,23,12,14,0,1,19,2,0,17,12,0,9,21,0,0,0,0,127,0,8,3,4,8,16,26,33,255,12,1,31,4,23,28,86,0,0,451,41,2,4,30,107,15,130,0,0,0,23,1,10,10,11,10,0,3,19,2,0,34,23,0,14,22,0,0,0,0,127,0,4,3,4,10,16,34,15,256,7,1,33,3,24,54
"8",86,0,0,451,47,0,4,32,114,18,148,0,0,0,35,1,21,10,12,9,1,3,19,2,0,39,24,0,16,18,0,0,0,0,127,0,12,3,4,10,16,42,13,257,7,1,33,3,26,66,86,0,0,105,61,2,8,42,38,20,146,0,0,0,39,2,24,15,10,9,1,3,19,2,0,52,27,0,14,21,0,0,0,0,127,0,22,3,4,14,25,57,12,57,9,1,22,3,34,84,86,0,0,27,63,6,10,44,25,23,145,0,0,0,38,6,26,39,14,58,2,2,220,0,0,48,33,0,18,16,0,0,0,0,127,0,24,3,4,14,169,60,9,12,14,0,10,3,38,74,86,0,0,27,65,9,12,26,36,30,176,0,0,0,44,12,29,90,19,121,2,2,370,0,0,43,36,0,27,24,0,0,0,0,0,0,27,3,4,10,305,55,17,12,17,0,10,3,51,65,86,0,0,27,65,10,11,25,38,27,194,0,0,0,45,12,26,91,19,120,3,3,366,0,0,53,36,0,28,28,0,0,0,0,0,0,29,3,5,12,304,58,15,12,17,1,10,3,52,66
"9",86,0,0,16,93,10,11,33,40,24,179,0,0,0,43,12,24,88,18,120,3,3,366,2,0,56,29,0,18,28,0,0,0,0,0,0,31,3,4,14,304,72,14,16,11,1,8,2,53,103,86,0,0,16,92,11,15,34,40,24,189,0,0,0,42,17,26,105,20,126,3,5,386,2,0,54,29,0,19,25,0,0,0,0,0,0,33,3,4,8,332,72,15,17,14,1,7,2,64,105,86,0,0,16,84,11,12,31,38,20,168,0,0,0,25,15,12,99,19,124,2,5,386,2,0,45,26,0,18,28,0,0,0,0,0,0,26,3,4,6,323,68,13,16,13,1,7,2,57,102,86,0,0,12,76,10,12,24,38,20,158,0,0,0,25,15,17,101,20,121,2,5,386,2,0,41,26,0,18,30,0,0,0,0,0,0,17,3,4,4,327,58,14,15,13,1,5,2,50,94,86,0,0,12,57,3,9,24,21,11,113,0,0,0,15,6,11,47,11,46,1,6,92,2,0,42,16,0,9,30,0,0,0,0,0,0,17,3,4,8,111,50,7,14,6,1,5,2,29,94
"10",86,0,0,12,54,2,7,24,22,7,87,0,0,0,7,5,11,23,6,17,1,5,33,2,0,42,12,0,4,20,0,0,0,0,0,0,21,3,4,8,44,49,4,14,6,1,5,2,21,94,86,0,0,12,45,2,9,20,17,6,73,0,0,0,5,5,10,21,5,14,1,5,20,2,0,27,13,0,3,16,0,0,0,0,0,0,21,3,4,4,33,34,4,14,6,0,5,2,20,65,86,0,0,0,13,1,8,14,11,4,38,0,0,0,4,0,8,3,3,8,2,1,0,1,0,16,11,0,3,13,0,0,0,0,0,0,21,3,4,8,5,16,3,0,5,0,0,2,5,21,86,0,0,0,12,1,5,13,10,3,25,0,0,0,6,0,8,3,3,9,2,2,0,1,0,10,9,0,2,12,0,0,0,0,0,0,19,3,4,8,5,10,1,0,4,0,0,2,4,14,86,0,0,0,9,0,6,12,6,1,23,0,0,0,9,0,1,2,2,9,2,2,0,1,0,9,6,0,2,4,0,0,0,0,0,0,16,3,4,8,1,7,0,0,2,0,0,2,0,6
