"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0,0,0,1,0,14,18,0,3,34,3,0,3,6,14,2,2,2,23,23,0,0,0,3,0,4,0,10,0,2,83,8,40,0,3,0,10,40,3,0,0,0,22,24,7,0,0,10,28,7,0,0,0,2,0,16,19,0,3,34,6,0,3,4,19,3,2,2,22,22,0,0,0,4,0,4,0,18,0,2,82,8,44,0,4,0,10,39,8,0,0,0,26,24,7,0,0,9,28,5,0,0,0,2,0,14,19,0,5,34,6,0,3,4,18,3,3,3,23,23,0,0,0,3,0,4,0,19,0,2,82,8,44,0,5,0,9,39,12,0,0,0,24,25,8,1,0,12,27,4,0,0,2,2,0,14,18,0,6,34,7,0,6,4,19,3,3,3,24,24,4,0,0,2,0,3,0,20,0,1,82,8,44,0,5,0,9,38,16,0,0,0,22,25,7,1,0,11,28,3,0,0,4,1,0,16,19,0,7,36,5,0,8,3,20,3,3,3,23,23,4,0,0,2,0,2,0,21,1,1,84,8,48,1,4,0,7,39,17,0,0,0,27,29,7,1,0,13,29,2
"2",0,0,5,1,0,20,19,0,7,38,7,0,7,3,20,2,3,3,23,23,6,0,0,2,0,2,0,23,1,1,85,8,44,1,4,0,5,34,18,0,0,0,25,28,7,1,0,15,28,3,0,0,6,1,0,18,19,0,14,36,17,0,7,3,20,2,3,1,23,23,6,0,0,2,0,2,0,23,1,2,85,8,48,1,4,0,2,34,18,0,0,0,19,28,7,1,0,15,29,3,0,0,8,0,0,16,21,0,14,36,19,0,7,2,23,1,4,1,24,24,6,0,0,1,0,1,0,22,1,1,85,9,50,1,4,0,2,38,16,0,0,0,17,30,6,1,0,19,29,3,0,0,8,0,0,20,21,0,13,36,22,1,7,2,25,0,5,1,24,24,6,0,0,0,0,1,0,22,1,1,85,8,48,1,2,0,2,35,11,0,0,0,18,28,6,1,0,15,29,3,0,0,7,0,0,18,19,0,10,36,22,1,10,3,22,0,5,0,23,23,6,0,0,0,0,2,0,26,1,1,86,8,48,2,1,0,1,35,7,0,0,0,22,29,5,1,0,20,29,4
"3",0,0,7,1,0,18,21,0,11,36,23,1,7,4,22,0,4,1,24,24,2,0,0,1,0,1,0,25,1,1,86,8,48,2,0,0,2,37,6,0,0,0,24,29,5,1,0,20,30,4,0,0,5,1,0,20,24,0,11,36,24,1,6,4,22,1,4,1,24,24,2,0,0,1,0,1,0,31,0,1,85,8,48,1,0,0,2,33,6,0,0,0,22,27,5,2,0,20,30,4,0,0,4,1,0,18,22,0,11,36,16,1,6,3,19,1,3,1,23,23,0,0,0,2,1,1,0,26,2,0,87,9,50,1,0,0,2,37,4,0,0,0,19,27,5,4,0,18,29,4,0,0,7,3,0,18,22,0,5,36,11,1,7,2,18,1,3,1,22,22,0,0,0,2,1,1,0,24,2,0,87,8,48,1,0,0,2,41,6,0,0,0,19,26,6,4,0,16,30,3,0,0,5,3,0,18,21,0,5,36,11,2,9,2,21,2,2,1,24,24,0,0,0,6,2,2,0,20,2,0,88,8,48,1,1,0,1,37,21,0,0,0,19,23,7,5,0,18,30,3
"4",0,0,6,3,0,18,21,0,7,34,7,3,8,5,19,2,1,1,24,24,0,0,0,6,2,6,0,17,2,0,90,8,44,0,1,0,1,37,42,0,0,0,23,23,8,5,0,14,29,3,0,0,10,3,0,18,21,0,7,36,6,4,8,5,17,2,2,1,23,23,0,0,0,6,2,8,0,19,2,0,88,8,48,0,1,0,1,39,49,0,0,0,22,21,10,4,0,16,31,4,0,0,10,2,0,16,17,0,7,36,3,5,8,4,25,2,4,1,22,22,0,0,0,5,2,9,0,23,2,0,88,8,48,0,3,0,1,41,57,0,0,0,20,23,10,3,0,16,31,4,0,0,12,2,0,18,17,0,6,34,3,7,11,4,26,1,6,1,24,24,0,0,0,7,2,11,0,15,2,0,87,8,48,0,3,0,1,40,71,0,0,0,19,23,10,4,0,16,30,4,0,0,19,4,0,18,17,0,5,36,5,12,12,8,26,1,7,2,24,24,0,0,0,6,1,12,0,17,0,0,86,8,48,0,3,0,4,41,106,0,0,0,26,23,11,2,0,16,30,3
"5",0,0,28,2,0,20,21,0,6,36,3,16,19,8,20,1,11,2,23,22,4,0,0,7,2,13,0,16,0,0,86,8,48,0,2,0,4,38,133,0,0,0,33,26,10,2,0,14,31,4,0,0,34,3,0,20,20,0,6,36,9,22,15,8,27,0,14,2,23,23,4,0,0,3,1,10,0,17,0,0,85,9,46,0,2,0,4,46,132,0,0,0,33,26,11,1,0,14,31,4,0,0,40,3,0,20,16,0,4,36,9,24,15,5,26,0,14,4,24,24,4,0,0,3,1,6,0,17,0,0,84,8,44,0,2,0,6,48,120,0,0,0,37,26,10,1,0,12,30,3,0,0,41,3,0,20,18,0,6,36,15,24,15,5,29,0,14,3,24,24,4,0,0,3,2,6,0,19,0,0,84,8,44,0,0,0,6,43,125,0,0,0,43,25,9,2,0,12,29,2,0,0,50,3,0,18,14,0,4,36,16,28,15,5,24,0,11,3,23,23,4,0,0,1,2,9,0,21,0,0,84,8,48,2,0,0,6,43,123,0,0,0,53,25,8,2,0,8,29,2
"6",0,0,52,4,0,22,14,0,6,36,21,27,13,5,25,0,10,3,23,23,4,0,0,1,2,6,0,27,0,0,85,8,48,2,0,0,5,48,105,0,0,0,57,25,8,2,0,10,28,3,0,0,49,2,0,20,14,0,5,36,21,25,10,1,26,0,8,3,23,23,3,0,0,1,2,5,0,26,1,0,84,8,48,2,0,0,4,44,71,0,0,0,56,23,7,2,0,10,29,3,0,0,41,2,0,20,14,0,5,36,22,20,5,1,28,0,5,4,23,23,0,0,0,0,2,5,0,31,1,0,84,8,44,3,0,0,5,42,54,0,0,0,49,23,7,2,0,12,29,2,0,0,36,1,0,18,16,0,6,38,16,16,5,1,23,1,2,4,23,23,0,0,0,0,2,5,0,30,1,0,87,8,44,3,0,0,5,43,39,0,0,0,45,25,5,2,0,8,28,2,0,0,29,1,0,18,18,0,6,36,13,15,6,0,26,2,1,3,23,23,0,0,0,0,2,7,0,30,1,0,85,8,44,4,0,0,4,42,31,0,0,0,48,27,4,1,0,6,29,1
"7",0,0,25,3,0,20,20,0,3,36,17,13,4,0,21,3,0,3,23,23,0,0,0,0,2,6,0,30,2,0,85,9,46,4,0,0,3,41,25,0,0,0,50,28,4,1,0,8,29,1,0,0,20,2,0,18,20,0,2,36,12,8,6,3,23,3,0,2,23,23,0,0,0,0,2,5,0,27,2,0,86,8,48,3,0,0,2,41,19,0,0,0,47,28,4,1,0,10,29,1,0,0,16,2,0,18,20,0,1,38,12,6,6,3,23,4,0,2,23,23,0,0,0,0,2,5,0,21,2,0,85,8,48,3,0,0,3,39,16,0,0,0,38,25,4,0,0,6,28,0,0,0,8,2,0,18,18,0,2,36,10,5,5,3,25,5,0,2,23,23,0,0,0,0,1,5,0,23,1,0,85,8,48,3,0,0,3,45,14,0,0,0,43,27,4,0,0,8,29,2,0,0,8,2,0,20,20,0,1,36,8,5,5,3,25,5,0,1,23,23,0,0,0,1,1,4,0,16,1,0,85,8,48,3,0,0,2,45,13,0,0,0,41,27,4,0,0,10,29,2
"8",0,0,8,2,0,18,16,0,1,37,6,4,7,4,27,4,0,0,24,24,0,0,0,1,1,3,0,18,1,0,84,8,52,3,0,0,2,41,11,0,0,0,31,25,4,0,0,16,28,3,0,0,7,2,0,18,16,0,2,38,5,0,8,5,21,3,0,0,24,24,1,0,0,1,1,2,0,21,1,0,84,8,48,2,2,0,2,44,11,0,0,0,30,22,5,0,0,18,29,3,0,0,4,0,0,20,18,0,4,38,0,0,10,8,24,2,0,0,22,22,4,0,0,1,0,2,0,22,0,0,84,8,48,2,2,0,2,37,13,0,0,0,22,22,5,1,0,14,29,3,0,0,4,0,0,20,16,0,5,36,1,0,10,6,21,3,0,0,23,23,4,0,0,1,2,2,0,21,0,0,85,8,48,1,2,0,4,38,17,0,0,0,24,23,5,1,0,14,29,4,0,0,5,0,0,20,16,0,6,38,7,0,11,6,17,2,0,0,24,24,4,0,0,1,2,4,0,25,0,0,85,9,52,1,2,0,3,38,21,0,0,0,25,24,5,1,0,16,30,2
"9",0,0,9,1,0,20,18,0,10,38,8,0,12,7,18,1,0,0,24,24,4,0,0,1,2,4,0,24,2,0,85,8,48,0,2,0,3,41,21,0,0,0,17,24,5,2,0,16,30,2,0,0,10,1,0,20,18,0,12,36,8,0,11,8,18,1,0,0,22,22,4,0,0,0,2,4,0,27,2,0,85,8,46,0,2,0,2,39,22,0,0,0,23,24,5,2,0,12,29,2,0,0,11,1,0,18,20,0,13,36,8,0,15,8,16,1,0,0,23,23,4,0,0,1,3,4,0,29,2,0,86,9,47,4,4,0,9,45,24,0,0,0,24,27,5,2,0,10,30,1,0,0,14,1,0,20,20,0,13,36,8,0,10,7,15,1,0,0,24,24,0,0,0,1,3,4,0,26,2,0,86,10,52,4,2,0,10,41,24,0,0,0,21,31,5,2,0,8,30,1,0,0,13,2,0,20,18,0,11,38,10,1,9,5,16,2,0,0,24,24,0,0,0,3,2,6,0,28,2,0,88,13,51,6,2,0,12,47,24,0,0,0,18,30,5,1,0,12,29,0
"10",0,0,13,2,0,18,18,0,11,36,13,4,10,4,19,1,0,0,22,22,0,0,0,3,2,5,0,28,2,3,86,13,49,6,2,0,12,44,21,0,0,0,20,31,5,1,0,13,28,1,0,0,11,3,0,18,18,0,8,36,10,4,10,4,19,2,3,0,24,24,0,0,0,6,5,3,0,35,0,3,86,12,50,6,2,0,13,38,15,0,0,0,23,30,5,1,0,13,29,3,0,0,8,2,0,18,16,0,5,36,10,5,10,3,18,2,10,0,24,24,0,0,0,11,5,4,0,46,0,4,88,11,52,6,2,0,15,41,14,0,0,0,24,29,5,1,0,15,29,4,0,0,6,2,0,17,17,0,4,36,11,5,13,2,20,2,10,1,24,24,0,0,0,11,7,4,0,41,0,4,87,11,52,7,2,0,16,41,15,0,0,0,21,29,5,2,0,17,28,4,0,0,6,3,0,17,15,0,5,36,17,5,8,3,24,2,10,1,22,22,0,0,0,10,6,4,0,46,0,4,86,10,47,3,0,0,10,39,13,0,0,0,22,27,5,3,0,17,29,5
